"pop" "id" "k.value.run" "X1" "X2" "X3" "membership"
"131" "SR" "SR131" 1 1 NA NA 1
"132" "SR" "SR133" 1 1 NA NA 1
"133" "SR" "SR141" 1 1 NA NA 1
"134" "SR" "SR144" 1 1 NA NA 1
"135" "SR" "SR15" 1 1 NA NA 1
"136" "SR" "SR159" 1 1 NA NA 1
"137" "SR" "SR24" 1 1 NA NA 1
"138" "SR" "SR34" 1 1 NA NA 1
"139" "SR" "SR37" 1 1 NA NA 1
"140" "SR" "SR51" 1 1 NA NA 1
"141" "SR" "SR58" 1 1 NA NA 1
"142" "SR" "SR88" 1 1 NA NA 1
"143" "SR" "SR89" 1 1 NA NA 1
"144" "SR" "SR96" 1 1 NA NA 1
"145" "AL" "AL12" 1 1 NA NA 1
"146" "AL" "AL2" 1 1 NA NA 1
"147" "AL" "AL21" 1 1 NA NA 1
"148" "AL" "AL22" 1 1 NA NA 1
"149" "AL" "AL24" 1 1 NA NA 1
"150" "AL" "AL29" 1 1 NA NA 1
"151" "AL" "AL3" 1 1 NA NA 1
"152" "AL" "AL6" 1 1 NA NA 1
"153" "BR" "BR18" 1 1 NA NA 1
"154" "BR" "BR19" 1 1 NA NA 1
"155" "BR" "BR21" 1 1 NA NA 1
"156" "BR" "BR23" 1 1 NA NA 1
"157" "BR" "BR25" 1 1 NA NA 1
"158" "BR" "BR26" 1 1 NA NA 1
"159" "BR" "BR29" 1 1 NA NA 1
"160" "BR" "BR32" 1 1 NA NA 1
"161" "BR" "BR37" 1 1 NA NA 1
"162" "CB" "CB2" 1 1 NA NA 1
"163" "CL" "CL17" 1 1 NA NA 1
"164" "CL" "CL23" 1 1 NA NA 1
"165" "CL" "CL27" 1 1 NA NA 1
"166" "CL" "CL31" 1 1 NA NA 1
"167" "CL" "CL39" 1 1 NA NA 1
"168" "CL" "CL42" 1 1 NA NA 1
"169" "CL" "CL43" 1 1 NA NA 1
"170" "CL" "CL47" 1 1 NA NA 1
"171" "CL" "CL54" 1 1 NA NA 1
"172" "CL" "CL56" 1 1 NA NA 1
"173" "CL" "CL63" 1 1 NA NA 1
"174" "CL" "CL9" 1 1 NA NA 1
"175" "CPN" "CPN10" 1 1 NA NA 1
"176" "CPN" "CPN15" 1 1 NA NA 1
"177" "CPN" "CPN17" 1 1 NA NA 1
"178" "CPN" "CPN20" 1 1 NA NA 1
"179" "CPN" "CPN27" 1 1 NA NA 1
"180" "CPN" "CPN28" 1 1 NA NA 1
"181" "CPN" "CPN35" 1 1 NA NA 1
"182" "CPN" "CPN6" 1 1 NA NA 1
"183" "CPN" "CPN8" 1 1 NA NA 1
"184" "CPSE" "CPSE11" 1 1 NA NA 1
"185" "CPSE" "CPSE12" 1 1 NA NA 1
"186" "CPSE" "CPSE16" 1 1 NA NA 1
"187" "CPSE" "CPSE2" 1 1 NA NA 1
"188" "CPSE" "CPSE21" 1 1 NA NA 1
"189" "CPSE" "CPSE32" 1 1 NA NA 1
"190" "CPSE" "CPSE38" 1 1 NA NA 1
